cg19237985	BARD1
cg26049092	BARD1
cg06344116	AC072062.1;BARD1
cg21261027	AC072062.1;BARD1
cg14238622	AC072062.1;BARD1
cg09259456	AC072062.1;BARD1
cg04004882	AC072062.1;BARD1
cg23075101	AC072062.1;BARD1
cg24591349	AC072062.1;BARD1
cg04737361	AC072062.1;BARD1
cg09243735	AC072062.1;BARD1
cg02461691	AC072062.1;BARD1
cg02172142	AC072062.1;BARD1
cg12091944	AC072062.1;BARD1
cg24715680	AC072062.1;BARD1
cg08563601	AC072062.1;BARD1
cg24607575	AC072062.1;BARD1
cg14761454	ATM;NPAT
cg01991180	ATM;NPAT
cg27453365	ATM;NPAT
cg17420659	ATM;NPAT
cg12106634	ATM;NPAT
cg27599391	ATM;NPAT
cg03569616	ATM;NPAT
cg09808176	ATM;NPAT
cg18042593	ATM;NPAT
cg25918541	ATM;NPAT
cg05637308	ATM;NPAT
cg01800843	ATM;NPAT
cg23389069	ATM;NPAT
cg11588932	ATM;NPAT
cg12019961	ATM;NPAT
cg23275463	ATM;NPAT
cg17114932	ATM;NPAT
cg22678707	ATM;NPAT
cg04826772	ATM;NPAT
cg25740661	ATM;NPAT
cg24568245	ATM;NPAT
cg06081482	ATM;NPAT
cg02105423	ATM;NPAT
cg10976287	ATM;NPAT
cg19288979	ATM;NPAT
cg10610482	ATM;NPAT
cg12848864	ATM;NPAT
cg03165700	ATM;NPAT
cg15504467	ATM;NPAT
cg05033322	ATM;NPAT
cg16693212	ATM;NPAT
cg20342375	ATM;NPAT
cg15370815	ATM;NPAT
cg16788234	ATM;NPAT
cg22837512	ATM;NPAT
cg24030675	ATM;NPAT
cg06053805	ATM;NPAT
cg06750635	ATM;NPAT
cg25400013	ATM;NPAT
cg18391757	ATM;NPAT
cg18457775	ATM;NPAT
cg04709886	ATM;NPAT
cg01756564	ATM;NPAT
cg22477592	ATM;NPAT
cg05231509	ATM;NPAT
cg24027342	ATM
cg03092399	ATM
cg19643901	ATM
cg19892525	ATM
cg12139707	ATM
cg05471373	ATM
cg27627854	ATM
cg04770025	ATM
cg02511767	ATM;C11orf65
cg17066171	ATM;C11orf65
cg08954307	ATM;C11orf65
cg15535686	ATM;C11orf65
cg21681962	ATM;C11orf65
cg12836863	BRCA2;ZAR1L
cg26458617	BRCA2;ZAR1L
cg08193369	BRCA2;ZAR1L
cg25753010	BRCA2;ZAR1L
cg19634711	BRCA2;ZAR1L
cg09698981	BRCA2;ZAR1L
cg05153735	BRCA2;ZAR1L
cg00031759	BRCA2;ZAR1L
cg20073910	BRCA2;ZAR1L
cg27253386	BRCA2;ZAR1L
cg08157964	BRCA2;ZAR1L
cg09102017	BRCA2;ZAR1L
cg15865175	BRCA2;ZAR1L
cg22682213	BRCA2;ZAR1L
cg25497877	BRCA2;ZAR1L
cg23628297	BRCA2
cg03777697	BRCA2
cg06935361	BRCA2
cg16725191	BRCA2
cg05394187	CHEK2P2
cg07051786	CHEK2P2
cg12688597	CHEK2P2
cg27041463	CHEK2P2
cg26888284	CHEK2P2
cg17400285	CHEK2P2
cg25792453	CHEK2P2
cg17875935	GATM
cg10760299	GATM
cg05280133	GATM;GATM-AS1
cg14910265	GATM;GATM-AS1
cg11431346	GATM;GATM-AS1
cg01145430	GATM;GATM-AS1
cg25908973	GATM;GATM-AS1
cg10088041	GATM;GATM-AS1
cg00645339	GATM;GATM-AS1
cg26796135	GATM;GATM-AS1
cg24328539	GATM;GATM-AS1
cg05896902	GATM;GATM-AS1
cg04025675	GATM;GATM-AS1
cg20381115	GATM;GATM-AS1
cg18435832	GATM;GATM-AS1
cg15744692	GATM;GATM-AS1
cg11032707	GATM;GATM-AS1
cg00767496	GATM;GATM-AS1
cg04980849	GATM;GATM-AS1
cg06246941	GATM;GATM-AS1
cg01329394	GATM
cg22340747	GATM
cg14582100	GATM;SPATA5L1
cg10381488	GATM;SPATA5L1
cg26924012	GATM;SPATA5L1
cg21132104	GATM;SPATA5L1
cg14025299	GATM;SPATA5L1
cg08642237	GATM;SPATA5L1
cg20122548	GATM;SPATA5L1
cg05718884	GATM;SPATA5L1
cg11821927	GATM;SPATA5L1
cg25215329	GATM;SPATA5L1
cg14208924	GATM;SPATA5L1
cg16801491	GATM;SPATA5L1
cg05695927	GATM;SPATA5L1
cg03981352	GATM;SPATA5L1
cg05785653	GATM;SPATA5L1
cg10514594	PALB2
cg15042806	DCTN5;PALB2
cg08350734	DCTN5;PALB2
cg09500317	DCTN5;PALB2
cg05534473	DCTN5;PALB2
cg16426870	DCTN5;PALB2
cg09705885	DCTN5;PALB2
cg07627390	DCTN5;PALB2
cg07866179	DCTN5;PALB2
cg10269081	DCTN5;PALB2
cg08762306	DCTN5;PALB2
cg05002041	DCTN5;PALB2
cg27568561	DCTN5;PALB2
cg04961445	DCTN5;PALB2
cg00905951	DCTN5;PALB2
cg02735133	DCTN5;PALB2
cg03524104	DCTN5;PALB2
cg04035070	DCTN5;PALB2
cg10358212	ATMIN;RP11-303E16.3
cg08120592	ATMIN;RP11-303E16.3
cg01476569	ATMIN;RP11-303E16.3
cg03251054	ATMIN;RP11-303E16.3
cg09080729	ATMIN;RP11-303E16.3
cg22734315	ATMIN;RP11-303E16.3
cg05568557	ATMIN;RP11-303E16.3
cg05621273	ATMIN;RP11-303E16.3
cg09619706	ATMIN;RP11-303E16.3
cg00291054	ATMIN
cg10492129	ATMIN
cg08154963	RAD51D;RAD51L3-RFFL
